"SALE TYPE","SOLD DATE","PROPERTY TYPE","ADDRESS","CITY","STATE OR PROVINCE","ZIP OR POSTAL CODE","PRICE","BEDS","BATHS","LOCATION","SQUARE FEET","LOT SIZE","YEAR BUILT","DAYS ON MARKET","$/SQUARE FEET","HOA/MONTH","STATUS","NEXT OPEN HOUSE START TIME","NEXT OPEN HOUSE END TIME","URL","SOURCE","MLS#","FAVORITE","INTERESTED","LATITUDE","LONGITUDE","full_address","annual_rental_income","monthly_rental_income","rentalval","rentalval_note","elevation","distance_to_coast_meters","distance_to_coast_km","median_ageE","whiteE","blackE","asianE","hispanicE","median_incomeE","educationE","unemploymentE"
"PAST SALE","September-20-2024","Single Family Residential","1179 King Salmon Ave","Eureka","CA",95503,552000,3,2,"Humboldt County",1560,8712,1988,NA,354,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Eureka/1179-King-Salmon-Ave-95503/home/115767294","BAREIS",324064285,"Y","Y",40.7406328,-124.2156908,"1179 King Salmon Ave, Eureka, CA",27600,2300,2300,"baseline_5pct",1.59,36.3233783937735,0.0363233783937735,46.3,2657,82,38,403,61250,433,106
"PAST SALE",NA,"Single Family Residential","1201 King Salmon Ave","Eureka","CA",95503,362304,2,1,NA,1512,6098,1959,NA,91,NA,NA,NA,NA,"https://www.redfin.com/CA/Eureka/1201-King-Salmon-Ave-95503/home/115753253",NA,NA,"Y","Y",40.7407655,-124.2157915,"1201 King Salmon Ave, Eureka, CA",18115.2,1509.6,1509.6,"baseline_5pct",1.46,58.4377772719588,0.0584377772719588,46.3,2657,82,38,403,61250,433,106
"PAST SALE",NA,"Single Family Residential","1213 King Salmon Ave","Eureka","CA",95503,362000,3,2,NA,1456,6534,1996,NA,249,NA,NA,NA,NA,"https://www.redfin.com/CA/Eureka/1213-King-Salmon-Ave-95503/home/115927792",NA,NA,"Y","Y",40.7409544,-124.2156305,"1213 King Salmon Ave, Eureka, CA",18100,1508.33333333333,1508.33333333333,"baseline_5pct",1.63,67.9695748442304,0.0679695748442304,46.3,2657,82,38,403,61250,433,106
"PAST SALE",NA,"Single Family Residential","1215 King Salmon Ave","Eureka","CA",95503,345190,1,2.5,NA,1262,5028,1995,NA,147,NA,NA,NA,NA,"https://www.redfin.com/CA/Eureka/1215-King-Salmon-Ave-95503/home/115887859",NA,NA,"Y","Y",40.7410356,-124.2155921,"1215 King Salmon Ave, Eureka, CA",17259.5,1438.29166666667,1438.29166666667,"baseline_5pct",1.65,74.2885831336102,0.0742885831336102,46.3,2657,82,38,403,61250,433,106
"PAST SALE",NA,"Single Family Residential","1229 King Salmon Ave","Eureka","CA",95503,293893,2,1,NA,704,6098,1965,NA,185,NA,NA,NA,NA,"https://www.redfin.com/CA/Eureka/1229-King-Salmon-Ave-95503/home/115888420",NA,NA,"Y","Y",40.7411812,-124.2155331,"1229 King Salmon Ave, Eureka, CA",14694.65,1224.55416666667,1224.55416666667,"baseline_5pct",1.68,86.3299629026048,0.0863299629026048,46.3,2657,82,38,403,61250,433,106
"PAST SALE",NA,"Single Family Residential","1237 King Salmon Ave","Eureka","CA",95503,208480,1,1,NA,616,7841,1970,NA,NA,NA,NA,NA,NA,"https://www.redfin.com/CA/Eureka/1237-King-Salmon-Ave-95503/home/115840741",NA,NA,"Y","Y",40.7413053,-124.2155155,"1237 King Salmon Ave, Eureka, CA",10424,868.666666666667,868.666666666667,"baseline_5pct",1.53,98.9505967423324,0.0989505967423324,46.3,2657,82,38,403,61250,433,106
"PAST SALE","January-20-2023","Single Family Residential","1245 King Salmon Ave","Eureka","CA",95503,315000,2,1,"Eureka",984,NA,1984,NA,320,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Eureka/1245-King-Salmon-Ave-95503/home/116002750","HAR",263261,"Y","Y",40.7413476,-124.2154337,"1245 King Salmon Ave, Eureka, CA",15750,1312.5,1312.5,"baseline_5pct",1.68,97.7859292655459,0.0977859292655459,46.3,2657,82,38,403,61250,433,106
"PAST SALE",NA,"Single Family Residential","1337 Buhne Dr","Eureka","CA",95503,275000,2,1,NA,840,4792,1947,NA,327,NA,NA,NA,NA,"https://www.redfin.com/CA/Eureka/1337-Buhne-Dr-95503/home/116286937",NA,NA,"Y","Y",40.7410645,-124.2162205,"1337 Buhne Dr, Eureka, CA",13750,1145.83333333333,1145.83333333333,"baseline_5pct",1.22,122.840949115406,0.122840949115406,46.3,2657,82,38,403,61250,433,106
"PAST SALE","January-31-2019","Single Family Residential","64 Herring St","Eureka","CA",95503,397000,3,2,"Eureka",1552,10018,2012,NA,256,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Eureka/64-Herring-St-95503/home/115825035","HAR",252759,"Y","Y",40.740805,-124.2164141,"64 Herring St, Eureka, CA",19850,1654.16666666667,1654.16666666667,"baseline_5pct",1.3,107.758252593726,0.107758252593726,46.3,2657,82,38,403,61250,433,106
"PAST SALE",NA,"Single Family Residential","61 Herring St","Eureka","CA",95503,264655,1,1,NA,625,5663,1939,NA,280,NA,NA,NA,NA,"https://www.redfin.com/CA/Eureka/61-Herring-St-95503/home/116310200",NA,NA,"Y","Y",40.7405124,-124.216443,"61 Herring St, Eureka, CA",13232.75,1102.72916666667,1102.72916666667,"baseline_5pct",1.3,77.0934769698575,0.0770934769698575,46.3,2657,82,38,403,61250,433,106
"PAST SALE","September-10-2024","Single Family Residential","85 Herring St","Eureka","CA",95503,297000,2,1,"Eureka",672,6098,1944,NA,442,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Eureka/85-Herring-St-95503/home/115827810","HAR",267443,"Y","Y",40.7407541,-124.2169505,"85 Herring St, Eureka, CA",14850,1237.5,1237.5,"baseline_5pct",1.3,140.744383085766,0.140744383085766,46.3,2657,82,38,403,61250,433,106
"PAST SALE","March-1-2023","Single Family Residential","1417 Buhne Dr","Eureka","CA",95503,362500,2,1,"Eureka",672,3049,1944,NA,539,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Eureka/1417-Buhne-Dr-95503/home/116245657","HAR",263497,"Y","Y",40.7408173,-124.2171311,"1417 Buhne Dr, Eureka, CA",18125,1510.41666666667,1510.41666666667,"baseline_5pct",1.29,160.842151060583,0.160842151060583,46.3,2657,82,38,403,61250,433,106
